所属天/单元,单词,词性及中文释义
第3天 Unit 1 Lesson 3,immigrate,v.(从外地)移居;移民
第3天 Unit 1 Lesson 3,*immigrant,n.(外来)移民;外侨
第3天 Unit 1 Lesson 3,migration,n.迁移;移居;迁徙
第3天 Unit 1 Lesson 3,bind,"v.捆绑,系;结合;约束"
第3天 Unit 1 Lesson 3,bond,n.纽带;联系 v.(使)牢固结合;建立互信关系
第3天 Unit 1 Lesson 3,bend,v.(使)倾斜;(使)弯曲;折弯 n.拐弯;弯道
第3天 Unit 1 Lesson 3,twist,v.使弯曲;使扭曲变形;转动 n.扭动
第4天 Unit 1 Lesson 4,,
第4天 Unit 1 Lesson 4,associate,v.联想;联系;交往 n.同事;伙伴
第4天 Unit 1 Lesson 4,association,n.协会;社团;联系
第4天 Unit 1 Lesson 4,society,n.社会;社团;协会
第4天 Unit 1 Lesson 4,social,adj.社会的;社交的;群居的
第4天 Unit 1 Lesson 4,mix,n.混合;混杂 v.(使)混合;配制
第4天 Unit 1 Lesson 4,*mixture,n.混合;混合物
第4天 Unit 1 Lesson 4,stir,n.激动;搅动 v.搅拌;激发
第4天 Unit 1 Lesson 4,comprehensive,adj.全部的;综合性的;详尽的
第4天 Unit 1 Lesson 4,comprehension,n.理解力;领悟能力;理解练习
第4天 Unit 1 Lesson 4,communicate,"v.交流,沟通"
第4天 Unit 1 Lesson 4,*communication,n.表达;交流;通信
第4天 Unit 1 Lesson 4,mutual,"adj.相互的,彼此的;共有的,共同的"
第4天 Unit 1 Lesson 4,community,n.社区;社会;群体
第4天 Unit 1 Lesson 4,neighbo(u)r,n.邻居;邻国
第4天 Unit 1 Lesson 4,neighbo(u)rhood,"n.街坊,四邻;附近地区"
第4天 Unit 1 Lesson 4,nearby,adj.附近的 adv.在附近
第4天 Unit 1 Lesson 4,nearly,"adv.几乎,差不多;将近"
第4天 Unit 1 Lesson 4,almost,"adv.几乎,差不多"
第4天 Unit 1 Lesson 4,mostly,"adv.主要地,通常"
第4天 Unit 1 Lesson 4,contact,n.联系;接触 v.联系
第4天 Unit 1 Lesson 4,touch,v.触摸;碰到;感动 n.触觉;触摸;碰;接触
第4天 Unit 1 Lesson 4,attach,v.贴上;把……固定;(使)与……有联系;重视
第4天 Unit 1 Lesson 4,*attachment,n.附件;附属物;依恋
第4天 Unit 1 Lesson 4,adhere,v.黏附;遵守;坚持
第4天 Unit 1 Lesson 4,stick,"v.粘贴,粘着;刺,插入 n.枝条;条状物"
第4天 Unit 1 Lesson 4,*sticky,adj.黏(性)的
第4天 Unit 1 Lesson 4,clue,n.线索;提示
第4天 Unit 1 Lesson 4,cue,"n.暗示,提示 v.给(某人)暗示(或提示)"
第4天 Unit 1 Lesson 4,thread,"n.线;思路,线索;线状物 v.穿线于"
第4天 Unit 1 Lesson 4,bottom,n.底部;底面;底 adj.底部的;最后的
第4天 Unit 1 Lesson 4,beneath,"prep.在(或往)……下面,在(或往)……下方"
第4天 Unit 1 Lesson 4,underneath,adv./prep.在(……)下面 n.底部
第4天 Unit 1 Lesson 4,below,prep.在……下面;低于 adv.在下面
第4天 Unit 1 Lesson 4,under,prep./adv.在(……)下面;低于 adj.下面的
第4天 Unit 1 Lesson 4,undergo,"v.经历,经受"
第4天 Unit 1 Lesson 4,undertake,v.承担;从事;着手做
第4天 Unit 1 Lesson 4,*undertaking,n.任务;事业;企业
第4天 Unit 1 Lesson 4,underground,adj.地下的 adv.在地下 n.地铁
第4天 Unit 1 Lesson 4,ground,"n.地,地面;场地,空地"
第4天 Unit 1 Lesson 4,background,n.背景;幕后
第4天 Unit 1 Lesson 4,bacteria,n.细菌
第4天 Unit 1 Lesson 4,undermine,v.逐渐削弱(信心、权威等);(暗中)破坏
第4天 Unit 1 Lesson 4,determine,"v.查明;决定;支配,影响"
第4天 Unit 1 Lesson 4,underline,"v.在(词语等)下面画线;强调,重视"
第4天 Unit 1 Lesson 4,outline,"n.轮廓,外形;梗概 v.概述;勾勒"
第4天 Unit 1 Lesson 4,deadline,"n.截止日期,最终期限"
第4天 Unit 1 Lesson 4,headline,"n.大字标题,头条;新闻摘要"
第4天 Unit 1 Lesson 4,forth,adv.向前
第4天 Unit 1 Lesson 4,foresee,v.预见;预知
第4天 Unit 1 Lesson 4,forward,adv.向前 adj.向前的 v.发送;促进
第4天 Unit 1 Lesson 4,ahead,adv.向前;提前;领先
第4天 Unit 1 Lesson 4,confront,"v.(使)面临,面对;对抗;解决(问题或困境)"
第4天 Unit 1 Lesson 4,*confrontation,n.对抗;冲突
第4天 Unit 1 Lesson 4,broad,adj.宽阔的;广泛的;普遍的
第4天 Unit 1 Lesson 4,broaden,"v.变宽,变阔;增长(经验等)"
第4天 Unit 1 Lesson 4,board,n.木板;董事会 v.登上(船、飞机等)
第4天 Unit 1 Lesson 4,aboard,adv./prep.在/上(船、飞机、火车等)(上)
第4天 Unit 1 Lesson 4,abroad,"adv.到国外,在国外"
第4天 Unit 1 Lesson 4,broadcast,v.播送;广播;散布 n.广播节目;电视节目
第4天 Unit 1 Lesson 4,wide,"adj.宽的,宽阔的;广泛的"
第4天 Unit 1 Lesson 4,*widely,adv.广泛地
第4天 Unit 1 Lesson 4,*widen,"v.(使)变宽,加宽;(使)扩展"
第4天 Unit 1 Lesson 4,width,n.宽度;广度
第4天 Unit 1 Lesson 4,wild,"adj.野生的,野外的;狂热的 n.野生环境"
第4天 Unit 1 Lesson 4,*wildlife,n.野生动物
第4天 Unit 1 Lesson 4,outdoors,adv.在户外;在野外
第4天 Unit 1 Lesson 4,*indoors,adv.在室内;进入户内
第4天 Unit 1 Lesson 4,branch,n.树枝;分支;支流
第4天 Unit 1 Lesson 4,random,adj.任意的;随意的
第4天 Unit 1 Lesson 4,*randomly,adv.随意;随机
第4天 Unit 1 Lesson 4,nature,"n.自然;大自然,自然界;本性"
第4天 Unit 1 Lesson 4,natural,"adj.天然的,自然的;正常的;天生的"
第4天 Unit 1 Lesson 4,tent,n.帐篷
第4天 Unit 1 Lesson 4,content,n.内容;含量;主题 adj.满意的 v.使满意
第4天 Unit 1 Lesson 4,satisfy,v.使满意;使满足
第4天 Unit 1 Lesson 4,*satisfied,adj.满意的;满足的
第4天 Unit 1 Lesson 4,*satisfactory,adj.令人满意的
第4天 Unit 1 Lesson 4,*satisfaction,n.满意;满足
第5天 Unit 2 Lesson 1,,
第5天 Unit 2 Lesson 1,receive,"v.收到,接到;接待;受到"
第5天 Unit 2 Lesson 1,*receiver,n.(电话)听筒;接收器
第5天 Unit 2 Lesson 1,receipt,n.收据;接收
第5天 Unit 2 Lesson 1,receptionist,n.接待员
第5天 Unit 2 Lesson 1,*reception,n.接待处;接待仪式;接待
第5天 Unit 2 Lesson 1,accept,v.接受;同意;承认
第5天 Unit 2 Lesson 1,concept,n.概念;观念
第5天 Unit 2 Lesson 1,occur,v.发生;出现
第5天 Unit 2 Lesson 1,*occurrence,n.出现;发生的事件
第5天 Unit 2 Lesson 1,happen,"v.发生;恰巧,碰巧"
第5天 Unit 2 Lesson 1,*happening,"n.事件,发生的事"
第5天 Unit 2 Lesson 1,traffic,n.交通;航行;运输
第5天 Unit 2 Lesson 1,jam,"n.果酱;拥挤,堵塞"
第5天 Unit 2 Lesson 1,paste,n.酱;膏 v.粘贴
第5天 Unit 2 Lesson 1,accident,n.事故;意外遭遇;不测事件
第5天 Unit 2 Lesson 1,incident,n.事件;事故
第5天 Unit 2 Lesson 1,occasion,n.特殊场合;时刻;机会
第5天 Unit 2 Lesson 1,*occasional,"adj.偶尔的,偶然的;临时的"
第5天 Unit 2 Lesson 1,opportunity,"n.机会,时机"
第5天 Unit 2 Lesson 1,chance,"n.机会,时机;可能性"
第5天 Unit 2 Lesson 1,affair,"n.事务;事情,事件"
第5天 Unit 2 Lesson 1,fair,adj.公平的;合理的 adv.公平合理地 n.集市
第5天 Unit 2 Lesson 1,*unfair,adj.不公平的
第5天 Unit 2 Lesson 1,fairly,"adv.公平地;一定地,相当地"
第5天 Unit 2 Lesson 1,event,"n.事件,(重要)事情,大事;活动;比赛项目"
第5天 Unit 2 Lesson 1,eventually,adv.最后;终于
第5天 Unit 2 Lesson 1,final,adj.最终的;最后的 n.决赛
第5天 Unit 2 Lesson 1,*finally,adv.终于;最终
第5天 Unit 2 Lesson 1,prevent,v.阻止;妨碍
第5天 Unit 2 Lesson 1,block,n.大块;街区;障碍物 v.妨碍;阻塞
第5天 Unit 2 Lesson 1,obstacle,n.障碍;干扰;阻碍;绊脚石
第5天 Unit 2 Lesson 1,hinder,v.阻碍;妨碍;阻挡
第5天 Unit 2 Lesson 1,restrain,"v.(尤指用武力)制止,阻止;约束,控制"
第5天 Unit 2 Lesson 1,ban,n.禁令 v.(官方)明令禁止;取缔
第5天 Unit 2 Lesson 1,forbid,"v.禁止,不准"
第5天 Unit 2 Lesson 1,prohibit,v.禁止;阻止
第5天 Unit 2 Lesson 1,exhibit,n.(一件)展览品;证据 v.展览;表现
第5天 Unit 2 Lesson 1,*exhibition,n.展览;展出
第5天 Unit 2 Lesson 1,display,"n./v.陈列;展览;表现,显示"
第5天 Unit 2 Lesson 1,adventure,n.冒险;冒险经历
第5天 Unit 2 Lesson 1,venture,"n.企业,商业;冒险事业 v.冒险;小心地说"
第5天 Unit 2 Lesson 1,invent,"v.发明,创造;虚构"
第5天 Unit 2 Lesson 1,*invention,"n.发明,创造"
第5天 Unit 2 Lesson 1,*inventor,n.发明者;创造者
第5天 Unit 2 Lesson 1,adapt,v.使适应;使适合
第5天 Unit 2 Lesson 1,adopt,v.收养;采纳;接受
第5天 Unit 2 Lesson 1,adjust,"v.调整,调节;(使)适合,(使)适应"
第5天 Unit 2 Lesson 1,justify,v.证明……正确(或正当、有理);为……辩护
第5天 Unit 2 Lesson 1,unjustified,"adj.不公正的,无正当理由的"
第5天 Unit 2 Lesson 1,justice,"n.公平,公正;司法制度;法官"
第5天 Unit 2 Lesson 1,prejudice,n.偏见;歧视 v.使有偏见
第5天 Unit 2 Lesson 1,judge,n.法官;裁判员;鉴定人 v.判定;判断;估计
第5天 Unit 2 Lesson 1,judg(e)ment,n.意见;审判;判断力
第6天 Unit 2 Lesson 2,,
第6天 Unit 2 Lesson 2,merit,n.优点;美德;价值
第6天 Unit 2 Lesson 2,advantage,n.有利条件;优势;优点
第6天 Unit 2 Lesson 2,disadvantage,"n.缺点;劣势,不利因素"
第6天 Unit 2 Lesson 2,weak,adj.虚弱的;不牢固的;懦弱的
第6天 Unit 2 Lesson 2,weakness,"n.弱点,缺点;虚弱,软弱"
第6天 Unit 2 Lesson 2,weaken,v.削弱;变弱
第6天 Unit 2 Lesson 2,wake,"v.醒,醒来;唤醒"
第6天 Unit 2 Lesson 2,*waken,v.醒来;唤醒
第6天 Unit 2 Lesson 2,awake,adj.醒着的 v.唤醒
第6天 Unit 2 Lesson 2,rouse,v.唤醒;使醒来
第6天 Unit 2 Lesson 2,shortcoming,"n.缺点,缺陷"
第6天 Unit 2 Lesson 2,whisper,v.耳语;低语;小声说 n.耳语(声);低语(声)
第6天 Unit 2 Lesson 2,aloud,"adv.大声地,出声地"
第6天 Unit 2 Lesson 2,loud,"adj.响亮的,大声的 adv.响亮地,大声地"
第6天 Unit 2 Lesson 2,envy,n./v.羡慕;忌妒
第6天 Unit 2 Lesson 2,*envious,adj.羡慕的;忌妒的
第6天 Unit 2 Lesson 2,jealous,adj.妒忌的;爱惜的
第6天 Unit 2 Lesson 2,grateful,"adj.感激的,感谢的"
第6天 Unit 2 Lesson 2,gratitude,n.感激
第6天 Unit 2 Lesson 2,grave,"n.坟墓,墓穴 adj.严重的;严肃的"
第6天 Unit 2 Lesson 2,gravity,n.严重性;严肃;重力
第6天 Unit 2 Lesson 2,severe,"adj.十分严重的,极为恶劣的;严峻的"
第6天 Unit 2 Lesson 2,serious,adj.严肃的;严重的;认真的;重要的
第6天 Unit 2 Lesson 2,series,"n.连续,一系列;连续剧"
第6天 Unit 2 Lesson 2,chain,n.链(条);一系列;连锁店 v.用链条拴住
第6天 Unit 2 Lesson 2,grant,v.授予;准予;承认 n.拨款
第6天 Unit 2 Lesson 2,greet,"v.迎接,和(某人)打招呼;对……作出反应"
第6天 Unit 2 Lesson 2,*greeting,"n.致意,问候"
第6天 Unit 2 Lesson 2,wave,n.波;波浪;挥手 v.挥手;挥动
第6天 Unit 2 Lesson 2,grab,n./v.抓住;抓取
第6天 Unit 2 Lesson 2,grasp,"n./v.抓住,抓紧;理解,领会"
第6天 Unit 2 Lesson 2,grass,"n.青草;草地,草坪"
第6天 Unit 2 Lesson 2,lawn,n.草坪
第6天 Unit 2 Lesson 2,seize,v.抓住;攻占
第6天 Unit 2 Lesson 2,program(me),n.程序;节目;计划;项目 v.编写程序;计划
第6天 Unit 2 Lesson 2,schedule,"n.工作计划;日程安排;时间表 v.安排,预定"
第6天 Unit 2 Lesson 2,routine,n.常规;日常工作;例行程序
第6天 Unit 2 Lesson 2,scheme,n.计划;方案;阴谋
第6天 Unit 2 Lesson 2,task,n.工作;任务;活动
第6天 Unit 2 Lesson 2,reply,v.回答;回应;作出反应 n.回答;答复
第6天 Unit 2 Lesson 2,respond,"v.回答,回应;作出反应"
第6天 Unit 2 Lesson 2,response,"n.回答;响应,反应"
第6天 Unit 2 Lesson 2,responsible,adj.有责任的;负责的;承担义务的
第6天 Unit 2 Lesson 2,*responsibility,n.负责;责任
第6天 Unit 2 Lesson 2,liable,adj.(法律上)有责任的;可能(做某事)
第6天 Unit 2 Lesson 2,oblige,"v.(以法律、义务等)强迫,迫使"
第6天 Unit 2 Lesson 2,*obligation,"n.义务,责任"
第6天 Unit 2 Lesson 2,duty,n.责任;义务;值班;税
第6天 Unit 2 Lesson 2,correspond,v.相符;一致;通信
第6天 Unit 2 Lesson 2,*corresponding,adj.符合的;相应的;相关的
第6天 Unit 2 Lesson 2,*correspondence,n.相关;相似;通信联系
第6天 Unit 2 Lesson 2,*correspondent,n.记者;通信员;通信者
第6天 Unit 2 Lesson 2,according,(to) prep.根据;按照
第6天 Unit 2 Lesson 2,record,"n.记录;记载;唱片 v.记录;标明;录音,录像"
第6天 Unit 2 Lesson 2,*recorder,n.记录者;录音机
第6天 Unit 2 Lesson 2,follow,v.跟随;遵循
第6天 Unit 2 Lesson 2,*following,"adj.下述的,下列的"
第6天 Unit 2 Lesson 2,fellow,"n.家伙;伙伴,同事 adj.同伴的;同事的"
第7天 Unit 2 Lesson 3,,
第7天 Unit 2 Lesson 3,approach,"v.接近;着手处理 n.接近;方法,方式"
第7天 Unit 2 Lesson 3,access,v.接近;进入;使用 n.通道;机会;权利
第7天 Unit 2 Lesson 3,accessible,adj.可接近的;可使用的;易相处的
第7天 Unit 2 Lesson 3,excess,n.超过;过度;过量 adj.额外的;过量的
第7天 Unit 2 Lesson 3,*excessive,adj.过分的;过度的
第7天 Unit 2 Lesson 3,exceed,"v.超过,胜过"
第7天 Unit 2 Lesson 3,ancestor,n.祖先;原型
第7天 Unit 2 Lesson 3,process,n.过程 v.加工;处理
第7天 Unit 2 Lesson 3,proceed,"v.进行,继续下去;前进"
第7天 Unit 2 Lesson 3,procedure,"n.程序,步骤"
第7天 Unit 2 Lesson 3,precede,v.在……之前发生(或出现);走在……前面;领先
第7天 Unit 2 Lesson 3,*preceding,"adj.在先的,前面的"
第7天 Unit 2 Lesson 3,procession,"n.队伍,行列"
第7天 Unit 2 Lesson 3,troop,"n.军队,士兵 v.列队行进"
第7天 Unit 2 Lesson 3,force,"n.力量;暴力;部队;影响大的人 v.强迫,迫使"
第7天 Unit 2 Lesson 3,*forceful,adj.强有力的;有说服力的
第7天 Unit 2 Lesson 3,reinforce,"v.加强,加固;给……加强力量,增援"
第7天 Unit 2 Lesson 3,enforce,v.强制;强迫;执行
第7天 Unit 2 Lesson 3,*enforcement,n.(强制)执行
第7天 Unit 2 Lesson 3,workforce,"n.劳动力,劳动大军,劳动人口;全体员工"
第7天 Unit 2 Lesson 3,work,n.工作;作品 v.(使)工作;(使)运作
第7天 Unit 2 Lesson 3,worker,"n.工作人员,工作者;工人"
第7天 Unit 2 Lesson 3,clerk,n.职员;办事员;店员
第7天 Unit 2 Lesson 3,workplace,n.工作场所;车间
第7天 Unit 2 Lesson 3,labo(u)r,n.劳动;劳动力;工作
第7天 Unit 2 Lesson 3,progress,"n.进步;进展 v.进步,改进"
